rfq_id,product_type,basket_type,autocall_barrier_pct,protection_barrier_pct,no_call_period_months,observation_frequency_days,quoted_implied_vol,notional_credits,counterparty,trader_id,requested_date,executed,start_date,end_date,avg_duration_months,structural_base_vol_mean,structural_base_vol_max,structural_base_vol_min,structural_base_vol_std,realized_vol_63d_mean,realized_vol_63d_max,realized_vol_63d_min,realized_vol_63d_std,n_underlyings
RFQ-000427,Mandalorian Twin-Win,single,1.2632,0.7663,0,30,0.1463,250000,Nal Hutta Traders,TRD-024,2016-01-04,True,2016-01-05,2020-06-07,36.18,0.15,0.15,0.15,0.0,0.1475083973104904,0.1475083973104904,0.1475083973104904,0.0,1
RFQ-002732,Holocron Reverse Convertible,single,1.2277,0.7873,0,30,0.1598,250000,Chandrila Sovereign Fund,TRD-003,2016-01-04,True,2016-01-07,2018-05-13,23.12,0.15,0.15,0.15,0.0,0.1475083973104904,0.1475083973104904,0.1475083973104904,0.0,1
RFQ-005988,Sith Eternal Snowball,worst_of,1.0,0.6374,1,90,0.2817,100000,Jabba Asset Management,TRD-016,2016-01-04,False,,,,0.2866666666666667,0.42,0.18,0.12220201853215572,0.4179750354532002,0.6347471739565127,0.2176758869571094,0.20902304695814808,3
RFQ-007365,Kessel Run Snowball,worst_of,1.0,0.5891,3,30,0.3412,100000,Kamino Cloning Trust,TRD-013,2016-01-04,True,2016-01-09,2024-10-23,33.93,0.29500000000000004,0.32,0.27,0.03535533905932735,0.29571232322706203,0.3190722037375124,0.2723524427166117,0.033035859833293824,2
RFQ-008154,Death Star Phoenix Note,worst_of,0.9959,0.5752,1,90,0.407,2000000,Alderaan Wealth Partners,TRD-003,2016-01-04,False,,,,0.36,0.42,0.3,0.08485281374238571,0.35833867310988443,0.4015020454459785,0.3151753007737903,0.06104222655546392,2
RFQ-008178,Sith Eternal Snowball,worst_of,1.0,0.5827,4,60,0.3025,500000,Corellian Capital,TRD-023,2016-01-04,True,2016-01-07,2020-01-14,30.35,0.28,0.3,0.26,0.019999999999999976,0.2727702350596342,0.3151753007737903,0.2176758869571094,0.04997296608465341,3
RFQ-008206,Death Star Phoenix Note,worst_of,0.9778,0.6435,0,180,0.2425,500000,Banco de Coruscant,TRD-032,2016-01-04,True,2016-01-04,2022-06-11,38.56,0.245,0.27,0.22,0.0353553390593274,0.24142563750686324,0.2723524427166117,0.2104988322971148,0.04373710736849714,2
RFQ-010288,Kessel Run Snowball,worst_of,1.0,0.575,6,180,0.2601,250000,Corellian Capital,TRD-008,2016-01-04,True,2016-01-07,2020-05-28,35.15,0.22999999999999998,0.31,0.15,0.11313708498984762,0.22116999016295313,0.2948315830154159,0.1475083973104904,0.10417322363795788,2
RFQ-011532,Kessel Run Snowball,worst_of,1.0,0.5398,5,30,0.2622,500000,Nal Hutta Traders,TRD-029,2016-01-04,True,2016-01-04,2020-08-31,23.44,0.28,0.3,0.26,0.02828427124746191,0.26642559386544984,0.3151753007737903,0.2176758869571094,0.06894249667148841,2
RFQ-014192,Holocron Reverse Convertible,single,1.3509,0.732,0,30,0.1668,2000000,Corellian Capital,TRD-024,2016-01-04,True,2016-01-07,2024-04-18,8.24,0.18,0.18,0.18,0.0,0.6347471739565127,0.6347471739565127,0.6347471739565127,0.0,1
RFQ-016994,Mandalorian Twin-Win,single,1.2311,0.7892,0,365,0.344,500000,Nal Hutta Traders,TRD-017,2016-01-04,False,,,,0.31,0.31,0.31,0.0,0.2948315830154159,0.2948315830154159,0.2948315830154159,0.0,1
RFQ-017973,Sith Eternal Snowball,worst_of,1.0,0.5882,1,60,0.3241,1000000,Nal Hutta Traders,TRD-018,2016-01-04,False,,,,0.3433333333333333,0.42,0.3,0.06658328118479392,0.33716964307839487,0.4015020454459785,0.2948315830154159,0.056634443661491056,3
RFQ-021693,Mandalorian Twin-Win,single,1.3051,0.7763,0,180,0.1259,100000,Corellian Capital,TRD-031,2016-01-04,False,,,,0.14,0.14,0.14,0.0,0.1364506614539587,0.1364506614539587,0.1364506614539587,0.0,1
RFQ-022042,Mandalorian Twin-Win,single,1.3527,0.7579,0,180,0.302,100000,Jabba Asset Management,TRD-015,2016-01-04,False,,,,0.32,0.32,0.32,0.0,0.3190722037375124,0.3190722037375124,0.3190722037375124,0.0,1
RFQ-023351,Sith Eternal Snowball,worst_of,1.0,0.5529,2,30,0.2117,250000,Corellian Capital,TRD-034,2016-01-04,True,2016-01-08,2020-03-31,26.72,0.2366666666666667,0.32,0.11,0.1115048578911849,0.2363077028116265,0.3190722037375124,0.1043913872493642,0.11547245950243294,3
RFQ-023748,Mandalorian Twin-Win,single,1.2741,0.8439,0,60,0.114,100000,First Order Financial,TRD-010,2016-01-04,True,2016-01-09,2022-07-21,55.16,0.11,0.11,0.11,0.0,0.1043913872493642,0.1043913872493642,0.1043913872493642,0.0,1
